lambda	amp
928.314	0.029
928.431	0.029
928.549	0.029
928.666	0.028
928.783	0.029
928.900	0.030
929.018	0.029
929.135	0.028
929.252	0.028
929.369	0.027
929.486	0.027
929.603	0.028
929.720	0.030
929.837	0.030
929.954	0.030
930.071	0.030
930.188	0.029
930.305	0.029
930.422	0.028
930.538	0.028
930.655	0.028
930.772	0.028
930.888	0.029
931.005	0.029
931.121	0.029
931.238	0.029
931.354	0.028
931.471	0.028
931.587	0.028
931.704	0.026
931.820	0.028
931.936	0.027
932.052	0.027
932.169	0.027
932.285	0.028
932.401	0.029
932.517	0.030
932.633	0.030
932.749	0.029
932.865	0.029
932.981	0.028
933.097	0.029
933.213	0.030
933.329	0.030
933.444	0.030
933.560	0.029
933.676	0.030
933.792	0.029
933.907	0.029
934.023	0.030
934.138	0.029
934.254	0.028
934.369	0.028
934.485	0.028
934.600	0.028
934.716	0.028
934.831	0.028
934.946	0.027
935.061	0.027
935.177	0.026
935.292	0.026
935.407	0.026
935.522	0.027
935.637	0.026
935.752	0.026
935.867	0.025
935.982	0.025
936.097	0.026
936.212	0.026
936.327	0.026
936.441	0.025
936.556	0.026
936.671	0.027
936.786	0.026
936.900	0.027
937.015	0.027
937.129	0.028
937.244	0.028
937.358	0.027
937.473	0.027
937.587	0.028
937.702	0.028
937.816	0.030
937.930	0.029
938.045	0.030
938.159	0.029
938.273	0.030
938.387	0.031
938.501	0.030
938.615	0.030
938.729	0.031
938.843	0.030
938.957	0.031
939.071	0.029
939.185	0.030
939.299	0.031
939.413	0.030
939.526	0.030
939.640	0.029
939.754	0.028
939.868	0.029
939.981	0.028
940.095	0.027
940.208	0.028
940.322	0.027
940.435	0.027
940.549	0.027
940.662	0.027
940.775	0.027
940.889	0.028
941.002	0.028
941.115	0.028
941.228	0.028
941.342	0.028
941.455	0.029
941.568	0.030
941.681	0.030
941.794	0.030
941.907	0.031
942.020	0.031
942.133	0.031
942.245	0.032
942.358	0.032
942.471	0.030
942.584	0.029
942.696	0.030
942.809	0.029
942.922	0.029
943.034	0.028
943.147	0.028
943.259	0.029
943.372	0.028
943.484	0.027
943.597	0.028
943.709	0.028
943.821	0.027
943.934	0.027
944.046	0.026
944.158	0.027
944.270	0.027
944.382	0.027
944.494	0.028
944.607	0.027
944.719	0.027
944.830	0.027
944.942	0.027
945.054	0.027
945.166	0.026
945.278	0.026
945.390	0.026
945.502	0.026
945.613	0.025
945.725	0.025
945.836	0.025
945.948	0.027
946.060	0.026
946.171	0.026
946.283	0.027
946.394	0.026
946.505	0.026
946.617	0.026
946.728	0.026
946.839	0.026
946.951	0.025
